timestamp,waist_yaw,waist_roll,waist_pitch,left_shoulder_pitch,left_shoulder_roll,left_shoulder_yaw,left_elbow,left_wrist_roll,left_wrist_pitch,left_wrist_yaw,right_shoulder_pitch,right_shoulder_roll,right_shoulder_yaw,right_elbow,right_wrist_roll,right_wrist_pitch,right_wrist_yaw,waist_yaw_vel,waist_roll_vel,waist_pitch_vel,left_shoulder_pitch_vel,left_shoulder_roll_vel,left_shoulder_yaw_vel,left_elbow_vel,left_wrist_roll_vel,left_wrist_pitch_vel,left_wrist_yaw_vel,right_shoulder_pitch_vel,right_shoulder_roll_vel,right_shoulder_yaw_vel,right_elbow_vel,right_wrist_roll_vel,right_wrist_pitch_vel,right_wrist_yaw_vel,left_thumb_rot, left_thumb_prox, left_thumb_dist, left_middle_prox, left_middle_dist, left_index_prox, left_index_dist,right_thumb_rot, right_thumb_prox, right_thumb_dist, right_middle_prox, right_middle_dist, right_index_prox, right_index_dist
7.452000,0.012856,0.000000,0.000000,0.020948,0.193449,-0.116295,1.374902,-1.702491,-0.160477,0.337491,0.010558,-0.060400,-1.183850,1.309696,1.850472,-0.056819,-0.112257,0.011999,0.000000,0.000000,0.000000,0.010738,0.001534,-0.050621,-0.009204,-0.003927,0.009817,-0.018408,0.000000,-0.009204,-0.004602,-0.001534,-0.016690,-0.004909,0.149242,0.980407,1.486514,-0.039630,-0.355297,-0.035120,-0.069798,0.254689,-1.052147,-1.474651,-0.023833,-0.015049,0.012772,-0.031598
7.454000,0.012856,0.000000,0.000000,0.020924,0.193473,-0.116295,1.374854,-1.702515,-0.160477,0.337483,0.010594,-0.060389,-1.183850,1.309708,1.850472,-0.056803,-0.112249,-0.001714,0.000000,0.000000,-0.006136,0.016874,0.001534,-0.052155,-0.015340,-0.002945,-0.004909,0.006136,-0.001534,0.003068,-0.001534,-0.013806,-0.016690,-0.012763,0.149242,0.980407,1.486514,-0.039630,-0.355297,-0.035120,-0.069798,0.254689,-1.052147,-1.474651,-0.023833,-0.015049,0.012772,-0.031598
7.456000,0.012843,0.000000,0.000000,0.020924,0.193473,-0.116295,1.374794,-1.702515,-0.160477,0.337483,0.010594,-0.060424,-1.183862,1.309684,1.850472,-0.056803,-0.112264,0.000000,0.000000,0.000000,-0.004602,0.000000,0.012272,-0.050621,-0.016874,-0.019635,-0.005890,0.000000,-0.010738,-0.007670,0.006136,-0.010738,0.000000,0.000000,0.149242,0.980407,1.486514,-0.039630,-0.355297,-0.035120,-0.069798,0.254689,-1.052147,-1.474651,-0.023833,-0.015049,0.012772,-0.031598
7.458000,0.012829,0.000000,0.000000,0.020924,0.193473,-0.116295,1.374734,-1.702491,-0.160477,0.337483,0.010546,-0.060436,-1.183826,1.309660,1.850472,-0.056819,-0.112257,-0.034283,0.000000,0.000000,-0.009204,0.007670,0.000000,-0.055223,0.004602,-0.004909,-0.004909,0.003068,-0.019942,0.013806,-0.010738,-0.007670,-0.014726,-0.009817,0.149242,0.980407,1.486514,-0.039630,-0.355297,-0.035120,-0.069798,0.254689,-1.052147,-1.474651,-0.023833,-0.015049,0.012772,-0.031598
7.460000,0.012856,0.000000,0.000000,0.020924,0.193473,-0.116295,1.374663,-1.702503,-0.160470,0.337483,0.010558,-0.060424,-1.183850,1.309660,1.850472,-0.056796,-0.112249,-0.018856,0.000000,0.000000,-0.007670,0.000000,0.001534,-0.053689,-0.009204,0.005890,-0.008836,0.007670,-0.006136,0.000000,-0.019942,-0.003068,0.002945,0.004909,0.149242,0.980407,1.486514,-0.039630,-0.355297,-0.035120,-0.069798,0.254689,-1.052147,-1.474651,-0.023833,-0.015049,0.012772,-0.031598
7.462000,0.012870,0.000000,0.000000,0.020924,0.193521,-0.116259,1.374591,-1.702515,-0.160485,0.337491,0.010570,-0.060412,-1.183850,1.309708,1.850460,-0.056803,-0.112257,0.023998,0.000000,0.000000,-0.001534,0.006136,0.018408,-0.062893,-0.026078,-0.012763,0.006872,0.009204,0.000000,0.001534,0.001534,-0.004602,-0.009817,0.008836,0.149242,0.980407,1.486514,-0.039630,-0.355297,-0.035120,-0.069798,0.254689,-1.052147,-1.474651,-0.023833,-0.015049,0.012772,-0.031598
7.464000,0.012856,0.000000,0.000000,0.020924,0.193497,-0.116259,1.374483,-1.702515,-0.160470,0.337483,0.010546,-0.060424,-1.183826,1.309696,1.850472,-0.056803,-0.112264,-0.001714,0.000000,0.000000,-0.001534,0.006136,0.016874,-0.064427,-0.029146,0.007854,-0.002945,-0.012272,-0.018408,0.021476,0.000000,0.007670,-0.008836,-0.016690,0.149242,0.980407,1.486514,-0.039630,-0.355297,-0.035120,-0.069798,0.254689,-1.052147,-1.474651,-0.023833,-0.015049,0.012772,-0.031598
7.466000,0.012856,0.000000,0.000000,0.020924,0.193509,-0.116271,1.374387,-1.702515,-0.160485,0.337476,0.010582,-0.060436,-1.183838,1.309684,1.850460,-0.056796,-0.112264,0.010285,0.000000,0.000000,-0.001534,0.000000,0.001534,-0.076699,0.003068,-0.011781,-0.017671,0.000000,-0.018408,0.001534,-0.009204,0.000000,0.002945,-0.013744,0.149242,0.980407,1.486514,-0.039630,-0.355297,-0.035120,-0.069798,0.254689,-1.052147,-1.474651,-0.023833,-0.015049,0.012772,-0.031598
7.468000,0.012856,0.000000,0.000000,0.020924,0.193545,-0.116259,1.374315,-1.702539,-0.160470,0.337476,0.010582,-0.060424,-1.183826,1.309696,1.850472,-0.056803,-0.112257,-0.013713,0.000000,0.000000,-0.003068,0.003068,0.004602,-0.070563,-0.001534,0.003927,-0.012763,-0.004602,-0.012272,0.007670,-0.007670,-0.001534,-0.000982,0.000000,0.149242,0.980407,1.486514,-0.039630,-0.355297,-0.035120,-0.069798,0.254689,-1.052147,-1.474651,-0.023833,-0.015049,0.012772,-0.031598
7.470000,0.012856,0.000000,0.000000,0.020912,0.193569,-0.116259,1.374207,-1.702515,-0.160477,0.337491,0.010534,-0.060389,-1.183814,1.309684,1.850472,-0.056803,-0.112241,-0.001714,0.000000,0.000000,0.003068,0.006136,0.007670,-0.064427,-0.003068,-0.001963,0.002945,0.000000,0.009204,0.009204,-0.013806,0.006136,-0.014726,0.015708,0.149242,0.980407,1.486514,-0.039630,-0.355297,-0.035120,-0.069798,0.254689,-1.052147,-1.474651,-0.023833,-0.015049,0.012772,-0.031598
7.472000,0.012843,0.000000,0.000000,0.020900,0.193569,-0.116271,1.374111,-1.702515,-0.160470,0.337491,0.010522,-0.060448,-1.183802,1.309684,1.850448,-0.056803,-0.112249,-0.013713,0.000000,0.000000,-0.010738,0.001534,-0.001534,-0.073631,-0.007670,0.005890,0.002945,-0.006136,-0.027612,0.012272,0.001534,-0.007670,0.003927,0.005890,0.149242,0.980407,1.486514,-0.039630,-0.355297,-0.035120,-0.069798,0.254689,-1.052147,-1.474651,-0.023833,-0.015049,0.012772,-0.031598
7.474000,0.012829,0.000000,0.000000,0.020889,0.193593,-0.116283,1.373991,-1.702527,-0.160470,0.337483,0.010534,-0.060424,-1.183778,1.309672,1.850460,-0.056796,-0.112249,-0.027427,0.000000,0.000000,-0.015340,0.000000,0.000000,-0.085903,-0.007670,-0.002945,-0.019635,-0.015340,-0.023010,0.019942,0.004602,0.000000,0.009817,0.007854,0.149242,0.980407,1.486514,-0.039630,-0.355297,-0.035120,-0.069798,0.254689,-1.052147,-1.474651,-0.023833,-0.015049,0.012772,-0.031598
7.476000,0.012856,0.000000,0.000000,0.020900,0.193605,-0.116259,1.373919,-1.702563,-0.160477,0.337506,0.010558,-0.060400,-1.183778,1.309660,1.850448,-0.056796,-0.112264,0.008571,0.000000,0.000000,-0.004602,0.006136,0.013806,-0.065961,-0.012272,-0.006872,0.014726,0.003068,-0.004602,0.001534,-0.006136,-0.001534,0.014726,-0.015708,0.149242,0.980407,1.486514,-0.039630,-0.355297,-0.035120,-0.069798,0.254689,-1.052147,-1.474651,-0.023833,-0.015049,0.012772,-0.031598
7.478000,0.012843,0.000000,0.000000,0.020889,0.193605,-0.116271,1.373848,-1.702551,-0.160470,0.337491,0.010522,-0.060389,-1.183754,1.309672,1.850472,-0.056803,-0.112257,-0.006857,0.000000,0.000000,-0.015340,-0.006136,-0.013806,-0.055223,-0.004602,0.004909,0.007854,-0.001534,-0.003068,0.013806,-0.001534,-0.010738,0.000982,-0.004909,0.149242,0.980407,1.486514,-0.039630,-0.355297,-0.035120,-0.069798,0.254689,-1.052147,-1.474651,-0.023833,-0.015049,0.012772,-0.031598
7.480000,0.012856,0.000000,0.000000,0.020889,0.193641,-0.116271,1.373752,-1.702539,-0.160477,0.337491,0.010522,-0.060377,-1.183754,1.309672,1.850472,-0.056811,-0.112264,0.013713,0.000000,0.000000,-0.016874,0.015340,-0.007670,-0.070563,-0.023010,-0.006872,-0.000982,0.010738,0.003068,0.010738,-0.003068,-0.010738,0.002945,-0.004909,0.149242,0.980407,1.486514,-0.039630,-0.355297,-0.035120,-0.069798,0.254689,-1.052147,-1.474651,-0.023833,-0.015049,0.012772,-0.031598
7.482000,0.012856,0.000000,0.000000,0.020877,0.193641,-0.116283,1.373668,-1.702563,-0.160477,0.337483,0.010486,-0.060424,-1.183754,1.309684,1.850472,-0.056803,-0.112241,0.011999,0.000000,0.000000,-0.013806,0.010738,-0.007670,-0.061359,-0.035282,-0.004909,-0.003927,-0.003068,-0.015340,0.000000,0.009204,-0.006136,0.000982,0.005890,0.149242,0.980407,1.486514,-0.039630,-0.355297,-0.035120,-0.069798,0.254689,-1.052147,-1.474651,-0.023833,-0.015049,0.012772,-0.031598
7.484000,0.012856,0.000000,0.000000,0.020877,0.193653,-0.116259,1.373584,-1.702539,-0.160470,0.337483,0.010474,-0.060448,-1.183742,1.309660,1.850448,-0.056803,-0.112257,0.000000,0.000000,0.000000,-0.018408,0.006136,0.001534,-0.076699,-0.013806,0.006872,-0.000982,0.001534,-0.015340,0.012272,0.001534,-0.001534,0.001963,0.000000,0.149242,0.980407,1.486514,-0.039630,-0.355297,-0.035120,-0.069798,0.254689,-1.052147,-1.474651,-0.023833,-0.015049,0.012772,-0.031598
7.486000,0.012843,0.000000,0.000000,0.020877,0.193629,-0.116259,1.373476,-1.702563,-0.160470,0.337483,0.010462,-0.060436,-1.183742,1.309648,1.850448,-0.056803,-0.112257,0.015427,0.000000,0.000000,-0.004602,-0.006136,-0.006136,-0.065961,-0.018408,0.002945,-0.002945,-0.004602,-0.003068,-0.001534,0.000000,-0.019942,0.007854,-0.005890,0.149242,0.980407,1.486514,-0.039630,-0.355297,-0.035120,-0.069798,0.254689,-1.052147,-1.474651,-0.023833,-0.015049,0.012772,-0.031598
7.488000,0.012856,0.000000,0.000000,0.020853,0.193653,-0.116259,1.373380,-1.702563,-0.160470,0.337483,0.010486,-0.060424,-1.183730,1.309636,1.850472,-0.056811,-0.112249,0.017142,0.000000,0.000000,-0.012272,-0.010738,-0.013806,-0.069029,-0.003068,0.008836,-0.003927,0.006136,0.001534,0.007670,-0.012272,-0.007670,-0.009817,0.000982,0.149242,0.980407,1.486514,-0.039630,-0.355297,-0.035120,-0.069798,0.254689,-1.052147,-1.474651,-0.023833,-0.015049,0.012772,-0.031598
7.490000,0.012843,0.000000,0.000000,0.020829,0.193701,-0.116259,1.373272,-1.702551,-0.160470,0.337491,0.010438,-0.060448,-1.183730,1.309672,1.850460,-0.056803,-0.112257,0.013713,0.000000,0.000000,-0.021476,0.000000,-0.001534,-0.064427,0.019942,0.002945,0.005890,0.000000,0.000000,0.000000,0.007670,-0.007670,0.000982,-0.001963,0.149242,0.980407,1.486514,-0.039630,-0.355297,-0.035120,-0.069798,0.254689,-1.052147,-1.474651,-0.023833,-0.015049,0.012772,-0.031598
7.492000,0.012843,0.000000,0.000000,0.020817,0.193701,-0.116259,1.373236,-1.702563,-0.160470,0.337483,0.010414,-0.060448,-1.183718,1.309636,1.850472,-0.056803,-0.112249,-0.013713,0.000000,0.000000,-0.018408,0.001534,0.004602,-0.044485,0.001534,0.000982,-0.003927,0.000000,0.000000,0.003068,-0.009204,-0.013806,0.000000,0.011781,0.149242,0.980407,1.486514,-0.039630,-0.355297,-0.035120,-0.069798,0.254689,-1.052147,-1.474651,-0.023833,-0.015049,0.012772,-0.031598
7.494000,0.012843,0.000000,0.000000,0.020793,0.193749,-0.116259,1.373176,-1.702563,-0.160470,0.337483,0.010426,-0.060448,-1.183718,1.309660,1.850448,-0.056811,-0.112257,-0.022284,0.000000,0.000000,-0.012272,-0.010738,0.006136,-0.047553,-0.001534,0.001963,-0.002945,0.004602,-0.004602,0.004602,-0.006136,-0.019942,-0.009817,-0.002945,0.149242,0.980407,1.486514,-0.039630,-0.355297,-0.035120,-0.069798,0.254689,-1.052147,-1.474651,-0.023833,-0.015049,0.012772,-0.031598
7.496000,0.012856,0.000000,0.000000,0.020781,0.193749,-0.116259,1.373081,-1.702563,-0.160470,0.337483,0.010378,-0.060448,-1.183694,1.309648,1.850472,-0.056796,-0.112264,0.000000,0.000000,0.000000,-0.012272,0.003068,0.003068,-0.055223,0.012272,0.000982,-0.001963,-0.015340,-0.001534,0.004602,0.001534,-0.001534,0.004909,-0.007854,0.149242,0.980407,1.486514,-0.039630,-0.355297,-0.035120,-0.069798,0.254689,-1.052147,-1.474651,-0.023833,-0.015049,0.012772,-0.031598
7.498000,0.012856,0.000000,0.000000,0.020745,0.193749,-0.116259,1.373033,-1.702563,-0.160470,0.337483,0.010390,-0.060436,-1.183694,1.309624,1.850472,-0.056811,-0.112249,-0.001714,0.000000,0.000000,-0.023010,0.000000,0.004602,-0.042951,-0.003068,0.000000,0.000000,0.004602,-0.004602,0.006136,-0.026078,-0.009204,0.000000,0.000000,0.149242,0.980407,1.486514,-0.039630,-0.355297,-0.035120,-0.069798,0.254689,-1.052147,-1.474651,-0.023833,-0.015049,0.012772,-0.031598
7.500000,0.012856,0.000000,0.000000,0.020709,0.193761,-0.116259,1.372973,-1.702563,-0.160470,0.337476,0.010366,-0.060436,-1.183694,1.309636,1.850460,-0.056811,-0.112257,-0.008571,0.000000,0.000000,-0.021476,-0.001534,0.012272,-0.044485,0.000000,-0.000982,-0.007854,-0.001534,0.000000,0.001534,-0.009204,-0.004602,0.003927,0.003927,0.149242,0.980407,1.486514,-0.039630,-0.355297,-0.035120,-0.069798,0.254689,-1.052147,-1.474651,-0.023833,-0.015049,0.012772,-0.031598
