timestamp,waist_yaw,waist_roll,waist_pitch,left_shoulder_pitch,left_shoulder_roll,left_shoulder_yaw,left_elbow,left_wrist_roll,left_wrist_pitch,left_wrist_yaw,right_shoulder_pitch,right_shoulder_roll,right_shoulder_yaw,right_elbow,right_wrist_roll,right_wrist_pitch,right_wrist_yaw,waist_yaw_vel,waist_roll_vel,waist_pitch_vel,left_shoulder_pitch_vel,left_shoulder_roll_vel,left_shoulder_yaw_vel,left_elbow_vel,left_wrist_roll_vel,left_wrist_pitch_vel,left_wrist_yaw_vel,right_shoulder_pitch_vel,right_shoulder_roll_vel,right_shoulder_yaw_vel,right_elbow_vel,right_wrist_roll_vel,right_wrist_pitch_vel,right_wrist_yaw_vel,left_thumb_rot, left_thumb_prox, left_thumb_dist, left_middle_prox, left_middle_dist, left_index_prox, left_index_dist,right_thumb_rot, right_thumb_prox, right_thumb_dist, right_middle_prox, right_middle_dist, right_index_prox, right_index_dist
7.492000,-0.030226,0.000000,0.000000,0.071438,0.310188,0.022458,1.159174,0.252256,0.070348,-0.003636,0.162926,-0.239996,-0.006184,1.166329,-0.274726,0.053697,0.007079,-0.183415,0.000000,0.000000,-0.010738,0.041417,-0.007670,-0.010738,0.000000,-0.009817,0.004909,0.000000,0.000000,0.001534,0.098175,-0.001534,0.009817,0.001963,0.070623,0.993758,0.858659,-0.032632,-1.597443,-0.236396,-1.159879,-0.096046,-1.050218,-0.574646,0.216501,0.886110,0.364809,0.430734
7.494000,-0.030534,0.000000,0.000000,0.071438,0.310224,0.022482,1.159186,0.252268,0.070364,-0.003636,0.162926,-0.240032,-0.006196,1.166533,-0.274726,0.053689,0.007079,-0.245125,0.000000,0.000000,-0.009204,0.032214,-0.004602,0.001534,0.010738,0.003927,0.008836,0.004602,-0.016874,0.000000,0.108913,0.000000,0.000982,0.001963,0.070623,0.993758,0.858659,-0.032632,-1.597443,-0.236396,-1.159879,-0.096046,-1.050218,-0.574646,0.216501,0.886110,0.364809,0.430734
7.496000,-0.030815,0.000000,0.000000,0.071438,0.310272,0.022494,1.159174,0.252256,0.070364,-0.003643,0.162938,-0.240020,-0.006184,1.166652,-0.274726,0.053682,0.007072,-0.183415,0.000000,0.000000,0.000000,0.035282,-0.001534,0.000000,-0.004602,0.000000,-0.009817,0.012272,0.004602,0.001534,0.105845,-0.003068,-0.000982,-0.000982,0.070623,0.993758,0.858659,-0.032632,-1.597443,-0.236396,-1.159879,-0.096046,-1.050218,-0.574646,0.216501,0.886110,0.364809,0.430734
7.498000,-0.031270,0.000000,0.000000,0.071438,0.310308,0.022518,1.159162,0.252268,0.070364,-0.003643,0.162926,-0.240044,-0.006196,1.166784,-0.274726,0.053682,0.007079,-0.205700,0.000000,0.000000,0.000000,0.035282,0.003068,-0.010738,0.000000,-0.005890,-0.001963,0.007670,-0.012272,0.003068,0.104311,-0.001534,0.000000,0.005890,0.070623,0.993758,0.858659,-0.032632,-1.597443,-0.236396,-1.159879,-0.096046,-1.050218,-0.574646,0.216501,0.886110,0.364809,0.430734
7.500000,-0.031605,0.000000,0.000000,0.071426,0.310344,0.022506,1.159210,0.252244,0.070371,-0.003651,0.162926,-0.240068,-0.006208,1.166892,-0.274726,0.053682,0.007079,-0.214270,0.000000,0.000000,0.000000,0.029146,0.009204,0.003068,0.001534,0.003927,-0.007854,0.009204,-0.012272,-0.001534,0.092039,-0.001534,0.002945,0.008836,0.070623,0.993758,0.858659,-0.032632,-1.597443,-0.236396,-1.159879,-0.096046,-1.050218,-0.574646,0.216501,0.886110,0.364809,0.430734
7.502000,-0.031873,0.000000,0.000000,0.071426,0.310391,0.022506,1.159198,0.252232,0.070371,-0.003643,0.162902,-0.240068,-0.006196,1.167060,-0.274726,0.053674,0.007079,-0.198843,0.000000,0.000000,-0.010738,0.036816,0.013806,0.000000,-0.006136,0.000982,0.000000,0.004602,-0.006136,0.001534,0.104311,-0.003068,0.004909,0.009817,0.070623,0.993758,0.858659,-0.032632,-1.597443,-0.236396,-1.159879,-0.096046,-1.050218,-0.574646,0.216501,0.886110,0.364809,0.430734
7.504000,-0.032167,0.000000,0.000000,0.071426,0.310427,0.022494,1.159198,0.252232,0.070371,-0.003651,0.162902,-0.240092,-0.006196,1.167287,-0.274714,0.053666,0.007079,-0.173130,0.000000,0.000000,-0.007670,0.027612,0.012272,0.003068,0.001534,0.000000,-0.009817,0.000000,-0.016874,0.001534,0.111981,-0.004602,-0.001963,0.005890,0.070623,0.993758,0.858659,-0.032632,-1.597443,-0.236396,-1.159879,-0.096046,-1.050218,-0.574646,0.216501,0.886110,0.364809,0.430734
7.506000,-0.032489,0.000000,0.000000,0.071426,0.310511,0.022470,1.159186,0.252208,0.070371,-0.003643,0.162914,-0.240092,-0.006196,1.167443,-0.274714,0.053666,0.007079,-0.219413,0.000000,0.000000,-0.015340,0.033748,-0.001534,0.003068,-0.009204,-0.004909,0.000000,0.007670,-0.009204,0.003068,0.116583,-0.001534,0.001963,-0.009817,0.070623,0.993758,0.858659,-0.032632,-1.597443,-0.236396,-1.159879,-0.096046,-1.050218,-0.574646,0.216501,0.886110,0.364809,0.430734
7.508000,-0.032917,0.000000,0.000000,0.071438,0.310583,0.022494,1.159186,0.252220,0.070371,-0.003643,0.162914,-0.240104,-0.006196,1.167659,-0.274726,0.053666,0.007079,-0.198843,0.000000,0.000000,-0.009204,0.035282,-0.006136,-0.003068,-0.009204,0.000982,-0.001963,0.009204,-0.010738,-0.001534,0.115049,-0.003068,0.000982,0.000000,0.070623,0.993758,0.858659,-0.032632,-1.597443,-0.236396,-1.159879,-0.096046,-1.050218,-0.574646,0.216501,0.886110,0.364809,0.430734
7.510000,-0.033359,0.000000,0.000000,0.071438,0.310631,0.022506,1.159186,0.252256,0.070379,-0.003659,0.162890,-0.240116,-0.006184,1.167803,-0.274714,0.053659,0.007079,-0.209128,0.000000,0.000000,0.000000,0.033748,0.007670,0.001534,0.003068,0.004909,-0.012763,0.001534,-0.010738,0.009204,0.107379,0.000000,-0.005890,0.000000,0.070623,0.993758,0.858659,-0.032632,-1.597443,-0.236396,-1.159879,-0.096046,-1.050218,-0.574646,0.216501,0.886110,0.364809,0.430734
