timestamp,left_shoulder_pitch,left_shoulder_roll,left_shoulder_yaw,left_elbow,left_wrist_roll,left_wrist_pitch,left_wrist_yaw,right_shoulder_pitch,right_shoulder_roll,right_shoulder_yaw,right_elbow,right_wrist_roll,right_wrist_pitch,right_wrist_yaw,left_shoulder_pitch_vel,left_shoulder_roll_vel,left_shoulder_yaw_vel,left_elbow_vel,left_wrist_roll_vel,left_wrist_pitch_vel,left_wrist_yaw_vel,right_shoulder_pitch_vel,right_shoulder_roll_vel,right_shoulder_yaw_vel,right_elbow_vel,right_wrist_roll_vel,right_wrist_pitch_vel,right_wrist_yaw_vel
0.002000,-0.031926,-0.017054,0.001222,1.127524,0.002972,0.087889,0.001312,0.008305,-0.015172,-0.420143,1.111489,0.081553,0.168439,-0.226868,-0.003068,-0.004602,0.003068,-0.026078,0.004602,0.000000,0.001963,-0.009204,0.006136,0.010738,-0.006136,0.018408,0.004909,-0.006872
0.052000,-0.031974,-0.017006,0.001330,1.127548,0.002888,0.087889,0.001312,0.008209,-0.015304,-0.420143,1.111465,0.081481,0.168431,-0.226860,0.000000,-0.010738,-0.003068,-0.007670,-0.004602,0.011781,0.005890,0.010738,0.007670,0.003068,0.016874,0.000000,-0.004909,-0.010799
0.102000,-0.032034,-0.016982,0.001414,1.127536,0.002888,0.087889,0.001304,0.008221,-0.015328,-0.420191,1.111417,0.081481,0.168431,-0.226853,-0.026078,0.000000,-0.001534,-0.010738,0.000000,0.006872,-0.006872,0.004602,0.000000,-0.013806,-0.003068,0.013806,0.005890,-0.000982
0.152000,-0.031998,-0.016982,0.001378,1.127536,0.002888,0.087889,0.001312,0.008173,-0.015316,-0.420155,1.111429,0.081469,0.168431,-0.226853,-0.003068,0.000000,0.013806,-0.013806,-0.004602,0.007854,-0.004909,0.013806,-0.010738,0.003068,0.012272,-0.007670,0.000000,-0.003927
0.202000,-0.031998,-0.016994,0.001390,1.127536,0.002864,0.087882,0.001312,0.008209,-0.015352,-0.420155,1.111477,0.081457,0.168431,-0.226845,0.004602,-0.007670,-0.004602,0.000000,-0.015340,0.011781,0.002945,0.016874,-0.009204,0.016874,0.000000,-0.013806,-0.003927,0.011781
0.252000,-0.032070,-0.016958,0.001438,1.127536,0.002864,0.087874,0.001312,0.008173,-0.015316,-0.420155,1.111429,0.081457,0.168423,-0.226853,0.003068,-0.018408,0.012272,0.000000,0.000000,0.013744,0.000000,0.010738,0.007670,0.000000,0.003068,-0.003068,-0.006872,-0.006872
0.302000,-0.032082,-0.016970,0.001366,1.127536,0.002852,0.087874,0.001312,0.008221,-0.015316,-0.420167,1.111429,0.081481,0.168431,-0.226845,-0.001534,0.000000,-0.015340,-0.003068,-0.006136,0.004909,0.000000,0.007670,0.012272,0.000000,0.007670,0.000000,0.000000,0.004909
0.352000,-0.031998,-0.016994,0.001450,1.127524,0.002828,0.087866,0.001319,0.008149,-0.015340,-0.420155,1.111429,0.081481,0.168439,-0.226845,-0.015340,-0.016874,0.001534,0.012272,0.000000,-0.002945,0.011781,-0.003068,-0.003068,0.000000,0.000000,-0.001534,0.008836,-0.002945
0.402000,-0.032034,-0.016982,0.001390,1.127536,0.002828,0.087874,0.001319,0.008161,-0.015340,-0.420179,1.111441,0.081469,0.168431,-0.226845,-0.013806,-0.006136,0.003068,0.000000,0.006136,0.004909,0.008836,0.006136,-0.006136,0.004602,0.001534,0.006136,0.006872,0.002945
0.452000,-0.032034,-0.016970,0.001474,1.127548,0.002852,0.087874,0.001312,0.008233,-0.015376,-0.420167,1.111429,0.081445,0.168431,-0.226845,-0.012272,-0.001534,0.000000,-0.016874,-0.004602,0.011781,0.005890,0.004602,-0.026078,0.000000,0.007670,0.000000,0.000000,0.004909
0.502000,-0.032034,-0.016982,0.001414,1.127536,0.002864,0.087866,0.001319,0.008161,-0.015364,-0.420143,1.111453,0.081481,0.168423,-0.226845,0.003068,-0.006136,0.001534,0.000000,-0.003068,0.003927,0.005890,-0.018408,-0.003068,-0.009204,0.012272,-0.006136,-0.015708,0.001963
0.552000,-0.032058,-0.017006,0.001474,1.127536,0.002888,0.087859,0.001312,0.008173,-0.015328,-0.420143,1.111465,0.081469,0.168431,-0.226845,-0.016874,0.000000,0.000000,-0.001534,0.007670,-0.005890,-0.000982,0.000000,-0.027612,0.007670,0.001534,-0.010738,-0.000982,0.000982
0.602000,-0.032058,-0.016982,0.001414,1.127536,0.002864,0.087851,0.001304,0.008161,-0.015388,-0.420131,1.111489,0.081457,0.168439,-0.226845,-0.015340,-0.009204,0.004602,-0.001534,0.003068,-0.012763,-0.014726,0.001534,-0.016874,0.000000,0.003068,0.001534,0.009817,0.000000
0.652000,-0.032046,-0.016958,0.001426,1.127548,0.002864,0.087866,0.001319,0.008221,-0.015388,-0.420143,1.111501,0.081457,0.168431,-0.226837,-0.023010,0.016874,0.003068,0.000000,-0.003068,0.000000,0.005890,0.003068,-0.001534,0.000000,0.004602,-0.010738,0.000000,0.008836
0.702000,-0.032094,-0.016970,0.001378,1.127536,0.002864,0.087859,0.001319,0.008221,-0.015352,-0.420143,1.111429,0.081481,0.168439,-0.226845,-0.015340,-0.001534,0.001534,-0.003068,-0.004602,-0.005890,0.009817,0.015340,0.012272,0.009204,0.003068,-0.006136,0.014726,0.005890
0.752000,-0.032142,-0.016970,0.001450,1.127536,0.002828,0.087859,0.001319,0.008245,-0.015352,-0.420131,1.111453,0.081469,0.168431,-0.226853,-0.001534,0.000000,-0.009204,-0.001534,0.000000,0.000000,0.008836,0.019942,0.003068,0.000000,-0.001534,0.004602,-0.002945,-0.009817
0.802000,-0.032070,-0.016970,0.001438,1.127536,0.002852,0.087859,0.001304,0.008245,-0.015340,-0.420155,1.111429,0.081481,0.168431,-0.226853,0.001534,-0.003068,0.013806,0.010738,0.012272,-0.000982,-0.009817,0.010738,-0.010738,0.013806,0.000000,-0.010738,-0.004909,-0.004909
